Publish Date,Day,Format,Working Title / Topic,Content Pillar,Objective,Primary Persona,Hook / Angle,CTA,Caption Status,Creative Status,Asset Link,Notes
Mar 23,Mon,Carousel,ミトコンドリアって何？毎日の土台をやさしく整理 / What are mitochondria? A simple look at your daily foundation,"Mitochondria, Explained Simply",Educate,Research-First Wellness Optimizer,エネルギーの話を、もっと土台から。 / Start the energy conversation from the foundation,ミトコンドリアファーストの考え方を知る / Explore the mitochondria-first approach,,,,Launch post; foundational education
Mar 25,Wed,Reel,"がんばりに頼る前に、毎日のコンディション設計 / Before relying on push-through mode, rethink daily condition","Better Function, Not Hype",Educate,Sleep-Deprived High Performer,派手さより、整った毎日へ。 / Choose steadier daily condition over hype,仕組みをやさしく読む / Learn how it works,,,,Daily-life relevance angle
Mar 27,Fri,Carousel,エピカテキンとは？Mitozzの核となる成分を整理 / What is epicatechin? The ingredient at the center of Mitozz,Epicatechin and the Science Story,Educate,Research-First Wellness Optimizer,成分名だけで終わらせない、わかる設計。 / Go beyond the ingredient name into real understanding,エピカテキンの考え方を見る / Discover the epicatechin story,,,,Ingredient introduction
Mar 30,Mon,Carousel,なぜ今、信頼できるサプリ選びが大切なのか / Why trusted supplement evaluation matters now,"Trust, Safety, and Premium Proof",Reassure,Healthy Aging Planner,サプリは“なんとなく”では選ばない時代へ。 / Supplements deserve more than vague trust,ブランドの考え方を読む / Read more about our approach,,,,Trust-first transition
,,,,,,,,,,,,
,,,,,,,,,,,,
Story Date,Day,Story Theme,Story Type,Related Feed Post,Purpose,CTA / Interaction,Copy Status,Creative Status,Asset Link,Notes,,
Mar 23,Mon,ミトコンドリア入門の補足 / Follow-up to mitochondria basics,Feed reinforcement,ミトコンドリアって何？ / What are mitochondria?,Reinforce,続きを見る / Tap to learn more,,,,Same-day reinforcement,,
Mar 24,Tue,気になる不調より“毎日の土台”を見る発想 / Looking at daily foundations first,Education mini-slide,,Educate,保存したい？ / Would you save this?,,,,Soft educational bridge,,
Mar 25,Wed,“がんばる毎日”に関する共感ストーリー / A relatable story for busy days,Feed reinforcement,がんばりに頼る前に… / Before relying on push-through mode,Reinforce,ある / ない？ / Yes or no?,,,,Light story language,,
Mar 26,Thu,刺激ではなく整える考え方に共感できる？ / Do you relate to a calmer approach?,Poll,,Gather engagement,Poll: 刺激派 / 整える派 / Poll: Stimulation / Steady routine,,,,Audience insight collection,,
Mar 27,Fri,エピカテキンQ&A導入 / Epicatechin intro Q&A,FAQ,エピカテキンとは？ / What is epicatechin?,Educate,質問募集中 / Send a question,,,,FAQ starter,,
Mar 30,Mon,信頼できるブランド選びの視点 / What builds trust in a brand?,Feed reinforcement,なぜ今、信頼できるサプリ選び… / Why trusted supplement evaluation matters now,Reinforce,どれを最初に見る？ / What do you check first?,,,,Trust week opener,,
Mar 31,Tue,上質さ＝見た目だけではない / Premium is more than appearance,Trust / premium proof,,Reassure,参考になったら保存 / Save if useful,,,,Premium cue,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Not started,,
